doc	token	w
0	all	0.182200133849031
0	anything	0.36399750567908606
0	coke	0.5815585411287992
0	difference	0.41941289045964736
0	do	0.20185185500993416
0	has	0.19955335020734247
0	it	0.0881170637652995
0	quite	0.38082766299387333
0	that	0.0827491388573233
0	think	0.23559546584702137
0	with	0.15645682265086205
1	abilities	0.0996160088451943
1	ability	0.022700165272132568
1	able	0.01857783600677055
1	about	0.02373887925756579
1	abstains	0.053306572001114154
1	abuse	0.02067244522152614
1	acquiring	0.026653286000557077
1	acute	0.026653286000557077
1	additional	0.023662865611041608
1	adopts	0.026653286000557077
1	affect	0.021913581821783105
1	affected	0.13620099163279542
1	affecting	0.026653286000557077
1	affects	0.026653286000557077
1	after	0.012680769989436727
1	age	0.04134489044305228
1	ages	0.024904002211298574
1	alcohol	0.23373388489599364
1	alcoholic	0.04980800442259715
1	all	0.007802331520173187
1	already	0.014558847362791097
1	also	0.05784213486637814
1	although	0.04032859606504921
1	always	0.015267694211513938
1	alzheimer	0.02067244522152614
1	alzheimers	0.024904002211298574
1	an	0.024607849423388173
1	another	0.028609987745209797
1	any	0.01032729037301866
1	apathy	0.024904002211298574
1	appear	0.021248534990544875
1	appropriate	0.02067244522152614
1	are	0.04475677250030122
1	area	0.01929855154156507
1	areas	0.024904002211298574
1	around	0.01542459385375063
1	as	0.03584302176094915
1	associated	0.06574074546534932
1	at	0.030777877141844746
1	balance	0.022700165272132568
1	be	0.06326931857285216
1	because	0.012200913161913128
1	been	0.02046067305013831
1	before	0.012853363591017205
1	behaviour	0.026653286000557077
1	being	0.01372890410358616
1	believe	0.015587415617255079
1	between	0.016116354483443177
1	body	0.022700165272132568
1	both	0.017682024832010666
1	brain	0.16164414984022737
1	but	0.012402383089161077
1	by	0.022767714303276388
1	can	0.042730258255954626
1	cannot	0.01671932449310163
1	care	0.017173877643009133
1	carried	0.07471200663389573
1	cases	0.06574074546534932
1	cause	0.01929855154156507
1	caused	0.021913581821783105
1	causes	0.04980800442259715
1	cells	0.026653286000557077
1	change	0.017173877643009133
