doc	token	w
0	art	0.28320693465585534
0	can	0.11523420097943794
0	diplomacy	0.3010403808175405
0	doggie	0.3010403808175405
0	find	0.20394657696235957
0	get	0.17647655923771177
0	have	0.09317613096295484
0	is	0.10311343949567675
0	it	0.061572320533962374
0	kennedy	0.2197809981530172
0	nice	0.2469583940457731
0	on	0.08597103622173322
0	one	0.14022801862762954
0	right	0.17305610465605775
0	rock	0.27573047937867945
0	saying	0.2265442746263485
0	somewhat	0.41035142949342346
0	that	0.05216193189131039
0	think	0.13515724097406415
0	this	0.10303958753946546
0	though	0.25185417606520955
0	until	0.23807673059904633
0	we	0.09851826915247452
0	you	0.0772334554512619
1	as	0.07179559048527927
1	bass	0.2437264591671292
1	black	0.16614370861831132
1	coffee	0.1988586409072961
1	conservative	0.1438742841605556
1	could	0.2634042199232481
1	court	0.2129831083400948
1	decide	0.1988586409072961
1	disclosure	0.2564861026138337
1	easily	0.19499940095976495
1	effectively	0.22574275178679937
1	is	0.032225017780494095
1	judges	0.16425605013273056
1	just	0.17529627236567089
1	like	0.16361558563088602
1	metal	0.2437264591671292
1	mic	0.2437264591671292
1	msi	0.2437264591671292
1	my	0.18951971720408303
1	on	0.053735345933621205
1	one	0.17529627236567089
1	partial	0.2338293108049282
1	rather	0.15013158269993185
1	rock	0.17234260915085942
1	see	0.10185481546452617
1	state	0.14505710838459213
1	that	0.03260329964520047
1	this	0.06440387512615695
1	treble	0.2437264591671292
1	you	0.04827400748803968
2	bad	0.3606266327905451
2	fight	0.3273993626194005
2	guys	0.3833351715067845
2	helps	0.5591658082928027
2	none	0.49653367175584284
2	which	0.23790785403879608
3	after	0.10620285064187542
3	america	0.12308478530863967
3	american	0.113013113059689
3	are	0.03504791845013379
3	as	0.10512957907360682
3	be	0.03911888678485048
3	been	0.07424282538806268
3	biggest	0.17119698336511333
3	called	0.1314572793371264
3	conservative	0.1053368516860167
3	conservatives	0.24328260321714812
3	democrats	0.0939258953470029
3	every	0.10057619174521579
3	exposure	0.2009517255730042
3	figured	0.18778504239442764
3	getting	0.14016862551483938
3	go	0.0899677628738024
3	govern	0.1784431320095803
3	has	0.13763614406167707
3	have	0.04263926587176086
3	higher	0.1521097656524272
3	house	0.12784544524944058
3	ignore	0.18778504239442764
3	in	0.05699175279422313
3	iraq	0.09775066814073212
3	is	0.023593388758307264
3	issue	0.10991810213006312
3	it	0.11270691403285307
3	kneed	0.2009517255730042
3	leaders	0.14559337887206356
3	main	0.1427678552675799
3	make	0.08198475520941509
3	media	0.1355217066231129
3	mitt	0.12617979623826556
3	need	0.10286935856957277
3	not	0.036656818952240294
3	our	0.15324822896345258
3	out	0.06465583432056843
3	pelosi	0.1521097656524272
3	people	0.06514785943518474
3	republican	0.10132273120530656
